"Categoria","Giorno"
"ESKA INDIVIDUAL KATA FEMALE   OVER+ OVER A YELLOW AND ORANGE","sabato"
"ESKA INDIVIDUAL KATA FEMALE CADETS BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA FEMALE CADETS BROWN","sabato"
"ESKA INDIVIDUAL KATA FEMALE CADETS GREEN - BLUE","sabato"
"ESKA INDIVIDUAL KATA FEMALE JUNIOR BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA FEMALE JUNIOR BROWN","sabato"
"ESKA INDIVIDUAL KATA FEMALE JUNIOR+SENIOR + OVER GREEN AND BLUE","sabato"
"ESKA INDIVIDUAL KATA FEMALE KIDS BROWN + BLACK BELT","domenica"
"ESKA INDIVIDUAL KATA FEMALE KIDS GREEN - BLUE","domenica"
"ESKA INDIVIDUAL KATA FEMALE KIDS YELLOW - ORANGE","domenica"
"ESKA INDIVIDUAL KATA FEMALE OVER + OVER A BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA FEMALE SENIOR + OVER+ OVER A BROWN","sabato"
"ESKA INDIVIDUAL KATA FEMALE SENIOR BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA FEMALE SENIOR YELLOW - ORANGE","sabato"
"ESKA INDIVIDUAL KATA FEMALE YOUTH BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA FEMALE YOUTH BROWN","sabato"
"ESKA INDIVIDUAL KATA FEMALE YOUTH GREEN -BLUE","sabato"
"ESKA INDIVIDUAL KATA FEMALE YOUTH+CADETS YELLOW-ORANGE","sabato"
"ESKA INDIVIDUAL KATA MALE CADETS + JUNIOR GREEN-BLUE","sabato"
"ESKA INDIVIDUAL KATA MALE CADETS BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA MALE CADETS BROWN","sabato"
"ESKA INDIVIDUAL KATA MALE CADETS YELLOW - ORANGE","sabato"
"ESKA INDIVIDUAL KATA MALE JUNIOR BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA MALE JUNIOR BROWN","sabato"
"ESKA INDIVIDUAL KATA MALE KIDS BLACK BELT","domenica"
"ESKA INDIVIDUAL KATA MALE KIDS BROWN","domenica"
"ESKA INDIVIDUAL KATA MALE KIDS GREEN - BLUE","domenica"
"ESKA INDIVIDUAL KATA MALE KIDS YELLOW - ORANGE","domenica"
"ESKA INDIVIDUAL KATA MALE OVER A BLACK","sabato"
"ESKA INDIVIDUAL KATA MALE OVER BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA MALE SENIOR + OVER A BROWN","sabato"
"ESKA INDIVIDUAL KATA MALE SENIOR BLACK","sabato"
"ESKA INDIVIDUAL KATA MALE SENIOR+OVER GREEN-BLUE","sabato"
"ESKA INDIVIDUAL KATA MALE SENIOR+OVER YELLOW-ORANGE","sabato"
"ESKA INDIVIDUAL KATA MALE YOUTH BLACK BELT","sabato"
"ESKA INDIVIDUAL KATA MALE YOUTH BROWN","sabato"
"ESKA INDIVIDUAL KATA MALE YOUTH GREEN - BLUE","sabato"
"ESKA INDIVIDUAL KATA MALE YOUTH YELLOW - ORANGE","sabato"
"FEMALE TEAM KATA FOR CLUBS","domenica"
"FEMALE TEAM KATA FOR REPRESENTATIVES","domenica"
"FEMALE TEAM KUMITE FOR CLUBS CADETS","domenica"
"FEMALE TEAM KUMITE FOR CLUBS JUNIORS","domenica"
"FEMALE TEAM KUMITE FOR CLUBS SENIORS","domenica"
"INDIVIDUAL KUMITE FEMALE CADETS  +60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE CADETS  -55 KG","sabato"
"INDIVIDUAL KUMITE FEMALE CADETS  -60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE CADETS  OPEN","sabato"
"INDIVIDUAL KUMITE FEMALE JUNIOR  OPEN","sabato"
"INDIVIDUAL KUMITE FEMALE JUNIOR +60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE JUNIOR -55 KG","sabato"
"INDIVIDUAL KUMITE FEMALE JUNIOR -60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE OVER +60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE SENIOR   OPEN","sabato"
"INDIVIDUAL KUMITE FEMALE SENIOR +60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE SENIOR -55 KG","sabato"
"INDIVIDUAL KUMITE FEMALE SENIOR -60 KG","sabato"
"INDIVIDUAL KUMITE FEMALE YOUTH -50 KG","sabato"
"INDIVIDUAL KUMITE FEMALE YOUTH -55 KG","sabato"
"INDIVIDUAL KUMITE FEMALE YOUTH -60 KG","sabato"
"INDIVIDUAL KUMITE MALE CADETS  OPEN","sabato"
"INDIVIDUAL KUMITE MALE CADETS +70 KG","sabato"
"INDIVIDUAL KUMITE MALE CADETS -60 KG","sabato"
"INDIVIDUAL KUMITE MALE CADETS -65 KG","sabato"
"INDIVIDUAL KUMITE MALE CADETS -70 KG","sabato"
"INDIVIDUAL KUMITE MALE JUNIOR  OPEN","sabato"
"INDIVIDUAL KUMITE MALE JUNIOR +75 KG","sabato"
"INDIVIDUAL KUMITE MALE JUNIOR -65 KG","sabato"
"INDIVIDUAL KUMITE MALE JUNIOR -70 KG","sabato"
"INDIVIDUAL KUMITE MALE JUNIOR -75 KG","sabato"
"INDIVIDUAL KUMITE MALE OVER   OPEN","sabato"
"INDIVIDUAL KUMITE MALE OVER +75 KG","sabato"
"INDIVIDUAL KUMITE MALE OVER -75 KG","sabato"
"INDIVIDUAL KUMITE MALE SENIOR   OPEN","sabato"
"INDIVIDUAL KUMITE MALE SENIOR +75 KG","sabato"
"INDIVIDUAL KUMITE MALE SENIOR -65 KG","sabato"
"INDIVIDUAL KUMITE MALE SENIOR -70 KG","sabato"
"INDIVIDUAL KUMITE MALE SENIOR -75 KG","sabato"
"INDIVIDUAL KUMITE MALE YOUTH +70 KG","sabato"
"INDIVIDUAL KUMITE MALE YOUTH -60 KG","sabato"
"INDIVIDUAL KUMITE MALE YOUTH -65 KG","sabato"
"MALE TEAM KATA FOR CLUBS","domenica"
"MALE TEAM KATA FOR REPRESENTATIVES","domenica"
"MALE TEAM KUMITE FOR CLUBS CADETS","domenica"
"MALE TEAM KUMITE FOR CLUBS JUNIORS","domenica"
"MALE TEAM KUMITE FOR CLUBS SENIORS","domenica"
"MIXED MALE E FEMALE  TEAM KATA FOR CLUBS","domenica"
"TEAM KUMITE FOR REPRESENTATIVES JUNIOR-SENIOR 3 MALE + 2 FEMALE","domenica"
